dataset,phase,classifier,Accuracy (mean±std),F1 (mean±std),n_folds
11,After FS-DR,RF,0.9306 ± 0.0613,0.6482 ± 0.3251,60
11,After FS-DR,SVM,0.9024 ± 0.0449,0.5289 ± 0.2559,60
12,After FS-DR,DT,0.9247 ± 0.0563,0.6725 ± 0.2664,50
12,After FS-DR,KNN,0.9379 ± 0.0617,0.7228 ± 0.2952,50
12,After FS-DR,MLP,0.9300 ± 0.0516,0.6902 ± 0.2630,50
12,After FS-DR,RF,0.9435 ± 0.0591,0.7316 ± 0.2909,50
12,After FS-DR,SVM,0.9115 ± 0.0437,0.5952 ± 0.2276,50
13,After FS-DR,DT,0.9525 ± 0.0055,0.8035 ± 0.0319,40
13,After FS-DR,KNN,0.9683 ± 0.0040,0.8685 ± 0.0263,40
13,After FS-DR,MLP,0.9553 ± 0.0072,0.8195 ± 0.0325,40
13,After FS-DR,RF,0.9727 ± 0.0044,0.8749 ± 0.0308,40
13,After FS-DR,SVM,0.9330 ± 0.0063,0.7069 ± 0.0322,40
14,After FS-DR,DT,0.9518 ± 0.0054,0.8020 ± 0.0316,30
14,After FS-DR,KNN,0.9682 ± 0.0043,0.8680 ± 0.0270,30
14,After FS-DR,MLP,0.9559 ± 0.0074,0.8230 ± 0.0313,30
14,After FS-DR,RF,0.9722 ± 0.0046,0.8724 ± 0.0323,30
14,After FS-DR,SVM,0.9329 ± 0.0061,0.7054 ± 0.0309,30
15,After FS-DR,DT,0.9518 ± 0.0060,0.8016 ± 0.0297,20
15,After FS-DR,KNN,0.9676 ± 0.0044,0.8655 ± 0.0254,20
15,After FS-DR,MLP,0.9556 ± 0.0081,0.8220 ± 0.0317,20
15,After FS-DR,RF,0.9719 ± 0.0050,0.8708 ± 0.0355,20
15,After FS-DR,SVM,0.9328 ± 0.0061,0.7039 ± 0.0288,20
16,After FS-DR,DT,0.9520 ± 0.0061,0.8009 ± 0.0308,10
16,After FS-DR,KNN,0.9678 ± 0.0044,0.8655 ± 0.0264,10
16,After FS-DR,MLP,0.9551 ± 0.0076,0.8201 ± 0.0308,10
16,After FS-DR,RF,0.9717 ± 0.0052,0.8698 ± 0.0365,10
16,After FS-DR,SVM,0.9328 ± 0.0062,0.7045 ± 0.0289,10
